Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
30,Spencer Steer,26,CIN,NL,151,150,116,1306.1,601,548,47,6,30,.990,-1,-1,-1,-1,4.10,4.56,3.44,4.45,,,,,,,73/4D9H6,,steersp01
31,JJ Bleday,26,OAK,AL,157,144,134,1295.0,405,392,8,5,1,.988,-8,-8,-19,-18,2.78,2.27,2.55,2.24,,,,,,,*8H/D,,bledajj01
32,Jake Cronenworth,30,SDP,NL,149,146,132,1293.1,923,709,208,6,99,.993,-1,-1,-1,-1,6.38,6.44,5.92,6.33,,,,,,,34/DH,,croneja01
33,Brendan Donovan,27,STL,NL,148,145,121,1292.0,394,242,150,2,28,.995,2,2,0,0,2.73,2.86,2.35,2.80,,,,,,,74/5DH9,,donovbr01
34,Masyn Winn,22,STL,NL,148,143,141,1285.1,611,191,402,18,100,.971,16,15,14,13,4.15,3.82,4.01,3.77,,,,,,,*6/HD,,winnma01
35,Brice Turang,24,MIL,NL,152,142,132,1277.2,626,240,379,7,78,.989,10,9,22,21,4.36,4.15,4.07,4.09,,,,,,,*4H/D,GG,turanbr02
36,Dansby Swanson,30,CHC,NL,148,146,137,1273.1,506,166,335,5,56,.990,-2,-2,7,7,3.54,3.82,3.39,3.77,,,,,,,*6/H,,swansda01
37,Freddie Freeman,34,LAD,NL,147,147,132,1270.1,1141,1022,115,4,93,.996,0,0,1,1,8.06,8.29,7.73,8.18,,,,,,,*3,ASMVP-17,freemfr01
38,Maikel Garcia,24,KCR,AL,156,142,125,1270.0,398,112,272,14,29,.965,-9,-9,-1,-1,2.72,2.78,2.31,2.80,,,,,,,*54H/69,,garcima01
39,Nolan Arenado,33,STL,NL,146,145,132,1268.1,392,103,280,9,26,.977,17,16,6,6,2.72,2.55,2.62,2.51,,,,,,,*5/DH,,arenano01
40,Jose Altuve,34,HOU,AL,147,146,130,1262.0,475,158,312,5,85,.989,3,3,-13,-12,3.35,3.97,3.20,3.91,,,,,,,*4/DH,ASMVP-15SS,altuvjo01
41,Brandon Nimmo,31,NYM,NL,147,142,108,1253.0,245,239,4,2,0,.992,4,4,-3,-3,1.75,2.21,1.65,2.18,,,,,,,*78/DH,,nimmobr01
42,Jacob Young,24,WSN,NL,149,142,137,1251.2,401,388,5,8,2,.980,8,8,12,12,2.83,2.21,2.64,2.18,,,,,,,*8/HD,,youngja03
43,Jazz Chisholm Jr.,26,2TM,2LG,143,142,130,1251.2,357,268,80,9,7,.975,-7,-7,-6,-6,2.50,2.33,2.40,2.30,,,,,,,85/D4H,,chishja01
44,Jazz Chisholm Jr.,26,MIA,NL,97,96,86,837.1,234,226,6,2,1,.991,-5,-8,-4,-6,2.49,2.26,2.37,2.24,,,,,,,8/D4H,,chishja01
45,Jazz Chisholm Jr.,26,NYY,AL,46,46,44,414.1,123,42,74,7,6,.943,-2,-4,-2,-6,2.52,2.46,2.47,2.43,,,,,,,5/8,,chishja01
46,Carlos Santana,38,MIN,AL,146,139,135,1250.0,1094,998,92,4,67,.996,12,12,8,8,7.85,8.03,7.47,7.92,,,,,,,*3/HD,GG,santaca01
47,Ian Happ,29,CHC,NL,144,144,131,1248.1,319,307,11,1,2,.997,17,17,8,8,2.29,2.21,2.21,2.18,,,,,,,*7/DH,GG,happia01
48,Randy Arozarena,29,2TM,AL,145,141,131,1247.1,286,279,5,2,0,.993,-7,-6,-7,-7,2.05,2.27,1.96,2.24,,,,,,,*7/8DH,,arozara01
49,Randy Arozarena,29,TBR,AL,93,89,82,792.1,171,165,4,2,0,.988,-9,-14,-5,-8,1.92,2.27,1.82,2.24,,,,,,,7/8HD,,arozara01
50,Randy Arozarena,29,SEA,AL,52,52,49,455.0,115,114,1,0,0,1.000,3,7,-2,-5,2.27,2.27,2.21,2.24,,,,,,,7/8D,,arozara01
51,Brenton Doyle,26,COL,NL,146,142,138,1242.2,438,426,8,4,3,.991,13,12,11,11,3.14,2.21,2.97,2.18,,,,,,,*8/DH,GG,doylebr02
52,Taylor Ward,30,LAA,AL,141,141,136,1241.0,315,302,8,5,0,.984,4,4,0,0,2.25,2.27,2.20,2.24,,,,,,,*7D,,wardta01
53,Alex Bregman,30,HOU,AL,142,142,132,1234.2,355,103,242,10,23,.972,13,12,6,6,2.51,2.47,2.43,2.44,,,,,,,*5/D,GG,bregmal01
54,Bryce Harper,31,PHI,NL,141,141,131,1233.1,1150,1050,95,5,99,.996,6,5,5,5,8.36,8.29,8.12,8.18,,,,,,,*3/D,ASMVP-6SS,harpebr03
55,Isaac Paredes,25,2TM,2LG,141,139,126,1228.1,409,174,219,16,31,.961,0,0,-2,-2,2.88,3.05,2.71,3.11,,,,,,,*53D/H,AS,paredis01
56,Isaac Paredes,25,TBR,AL,91,91,83,802.0,281,150,124,7,26,.975,3,4,-1,-1,3.07,3.31,2.88,3.42,,,,,,,53D/H,,paredis01
57,Isaac Paredes,25,CHC,NL,50,48,43,426.1,128,24,95,9,5,.930,-2,-6,-1,-3,2.51,2.55,2.38,2.51,,,,,,,5/H,,paredis01
58,Leody Taveras,25,TEX,AL,148,138,128,1227.0,388,376,9,3,2,.992,-16,-15,-10,-10,2.82,2.27,2.60,2.24,,,,,,,*8/HD,,taverle01
59,Jurickson Profar,31,SDP,NL,150,150,93,1221.2,249,243,5,1,1,.996,-4,-4,-8,-8,1.83,2.30,1.65,2.26,,,,,,,*7/D3,ASMVP-14SS,profaju01
60,Nolan Schanuel,22,LAA,AL,144,137,131,1211.1,1101,1018,76,7,127,.994,-6,-6,1,1,8.13,8.03,7.60,7.92,,,,,,,*3/HD,,schanno01
61,Zack Gelof,24,OAK,AL,138,136,134,1209.2,603,264,332,7,92,.988,5,4,-1,-1,4.43,3.97,4.32,3.91,,,,,,,*4/H,,gelofza01
62,Jackson Chourio,20,MIL,NL,146,135,112,1207.0,290,286,4,0,0,1.000,14,14,12,12,2.16,2.21,1.99,2.18,,,,,,,*79/HD,MVP-22ROY-3,chourja01
63,Josh Naylor,27,CLE,AL,137,137,128,1205.0,1086,1008,69,9,110,.992,1,1,-6,-6,8.04,8.03,7.86,7.92,,,,,,,*3D/H,AS,naylojo01
64,Alec Bohm,27,PHI,NL,138,137,128,1203.1,458,180,263,15,20,.967,-2,-2,-2,-2,3.31,3.06,3.10,3.10,,,,,,,*53/DH,AS,bohmal01
65,Bryson Stott,26,PHI,NL,144,133,122,1201.1,570,232,332,6,74,.989,-5,-5,6,6,4.23,4.13,3.74,4.06,,,,,,,*46H/D,,stottbr01
66,Nathaniel Lowe,28,TEX,AL,138,135,134,1193.2,1080,983,92,5,73,.995,9,9,1,1,8.11,8.03,7.79,7.92,,,,,,,*3/HD,,lowena01
67,Colton Cowser,24,BAL,AL,146,133,98,1192.2,312,308,3,1,0,.997,9,9,3,3,2.35,2.27,2.13,2.24,,,,,,,*789H/D,ROY-2,cowseco01
68,Bryan Reynolds,29,PIT,NL,133,133,121,1173.2,254,241,11,2,2,.992,-13,-13,-5,-5,1.93,2.21,1.89,2.18,,,,,,,*7D9,AS,reynobr01
69,CJ Abrams,23,WSN,NL,136,135,124,1170.2,526,160,349,17,68,.968,-10,-10,1,1,3.91,3.82,3.74,3.77,,,,,,,*6/H,AS,abramcj01
70,Joey Ortiz,25,MIL,NL,141,129,113,1164.0,365,114,241,10,30,.973,10,10,8,8,2.74,2.63,2.37,2.66,,,,,,,*56/H4,,ortizjo06
71,Salvador Perez,34,KCR,AL,136,134,110,1157.1,1119,1064,50,5,38,.996,8,8,-4,-4,8.66,8.78,7.96,8.64,3,30,37,11,22.9,1,23D/H,ASSS,perezsa02
72,Oneil Cruz,25,PIT,NL,135,129,123,1153.1,451,194,231,26,53,.942,-2,-2,-12,-12,3.32,3.55,3.15,3.50,,,,,,,*68H/D,,cruzon01
73,Michael Busch,26,CHC,NL,144,133,107,1150.2,1022,940,78,4,68,.996,7,7,5,5,7.96,8.22,6.97,8.06,,,,,,,*3H/4D5,,buschmi02
74,Jake Meyers,28,HOU,AL,145,126,120,1145.0,352,349,2,1,0,.997,16,17,6,6,2.76,2.27,2.42,2.24,,,,,,,*8H/7D,,meyerja02
75,Rafael Devers,27,BOS,AL,130,130,116,1138.1,299,102,185,12,19,.960,-3,-3,-9,-9,2.27,2.47,2.21,2.44,,,,,,,*5/D,ASMVP-13,deverra01
76,Jonathan India,27,CIN,NL,133,132,123,1137.0,460,217,239,4,53,.991,5,6,-10,-11,3.61,4.15,3.43,4.09,,,,,,,*4D/H,,indiajo01
77,Julio Rodríguez,23,SEA,AL,131,131,122,1133.1,343,334,4,5,1,.985,15,16,3,3,2.68,2.27,2.58,2.24,,,,,,,*8D/H,,rodriju01
78,Sal Frelick,24,MIL,NL,142,129,97,1132.0,280,271,6,3,1,.989,3,4,15,16,2.20,2.21,1.94,2.18,,,,,,,*987H/5D,GG,frelisa01
79,Vladimir Guerrero Jr.,25,TOR,AL,129,129,118,1126.1,987,885,90,12,93,.988,-5,-5,-1,-1,7.79,7.54,7.33,7.43,,,,,,,*3D5/H,ASMVP-6SS,guerrvl02
80,Adolis García,31,TEX,AL,131,130,118,1124.2,262,253,5,4,3,.985,5,5,-5,-5,2.06,2.27,1.97,2.24,,,,,,,*9D/H,,garciad02
81,Cal Raleigh,27,SEA,AL,135,125,119,1122.0,1195,1138,51,6,8,.995,6,6,17,18,9.54,9.16,8.81,9.03,5,27,81,32,28.3,0,*2D/H,MVP-12GG,raleica01
82,Anthony Santander,29,BAL,AL,130,129,104,1120.1,271,262,7,2,2,.993,3,3,-7,-7,2.16,2.28,2.05,2.28,,,,,,,*9D/3H,ASMVP-14SS,santaan02
83,Matt Vierling,27,DET,AL,138,124,90,1110.1,319,238,77,4,7,.987,9,9,2,2,2.55,2.35,2.10,2.35,,,,,,,859H7/D3,,vierlma01
84,Shea Langeliers,26,OAK,AL,131,123,118,1108.2,1063,1007,51,5,5,.995,-1,-1,-10,-11,8.59,9.16,8.08,9.03,7,53,79,29,26.9,1,*2/HD,,langesh01
85,José Ramírez,31,CLE,AL,126,126,117,1108.0,315,99,207,9,23,.971,2,2,6,6,2.49,2.47,2.43,2.44,,,,,,,*5D,ASMVP-5SS,ramirjo01
86,Ty France,29,2TM,2LG,133,124,115,1106.0,944,843,96,5,82,.995,-2,-2,-8,-9,7.64,8.11,7.01,7.98,,,,,,,*3/DH4,,francty01
87,Ty France,29,SEA,AL,87,82,76,736.0,651,581,66,4,54,.994,-3,-5,-6,-10,7.91,8.02,7.35,7.87,,,,,,,3/H4D,,francty01
88,Ty France,29,CIN,NL,46,42,39,370.0,293,262,30,1,28,.997,1,4,-2,-6,7.10,8.29,6.35,8.18,,,,,,,3/DH,,francty01
89,José Caballero,27,TBR,AL,137,123,99,1105.1,418,125,281,12,51,.971,6,7,2,2,3.31,3.50,2.62,3.41,,,,,,,654H/D,,cabaljo01
90,Christian Walker,33,ARI,NL,129,126,117,1104.1,1055,977,76,2,104,.998,4,5,7,8,8.58,8.29,8.16,8.18,,,,,,,*3/H,GG,walkech02
91,Brayan Rocchio,23,CLE,AL,142,121,111,1102.0,462,166,284,12,75,.974,9,10,11,12,3.68,3.70,3.17,3.65,,,,,,,*6/H,,rocchbr01
92,Brendan Rodgers,27,COL,NL,132,124,121,1093.0,531,181,342,8,89,.985,-2,-2,-4,-4,4.31,4.15,3.96,4.09,,,,,,,*4/DH,,rodgebr02
93,Cedric Mullins,29,BAL,AL,140,121,112,1090.0,274,271,2,1,0,.996,-6,-6,-5,-6,2.25,2.27,1.95,2.24,,,,,,,*8H/D,,mullice01
94,Colt Keith,22,DET,AL,133,125,108,1086.2,515,194,309,12,68,.977,-1,-1,-8,-9,4.17,3.97,3.78,3.91,,,,,,,*4DH,,keithco01
95,Luis García Jr.,24,WSN,NL,129,122,115,1086.0,536,221,305,10,84,.981,1,1,-5,-6,4.36,4.15,4.08,4.09,,,,,,,*4H/D,,garcilu04
96,Josh Smith,26,TEX,AL,132,122,113,1086.0,337,115,211,11,21,.967,-9,-9,-1,-1,2.70,2.90,2.36,2.87,,,,,,,56DH/749,SS,smithjo11
97,Daulton Varsho,27,TOR,AL,136,123,89,1085.1,327,320,5,2,1,.994,15,17,28,31,2.70,2.27,2.39,2.24,,,,,,,*87/H9D,GG,varshda01
98,Max Schuemann,27,OAK,AL,132,119,106,1071.2,415,139,261,15,48,.964,-4,-4,-7,-8,3.36,3.44,2.88,3.33,,,,,,,65/4H789,,schuema01
99,Lane Thomas,28,2TM,2LG,127,119,107,1065.2,270,256,7,7,3,.974,-16,-18,-13,-15,2.22,2.23,2.07,2.20,,,,,,,*98/HD,,thomala02
100,Lane Thomas,28,WSN,NL,76,76,73,667.2,171,162,5,4,3,.977,-13,-23,-10,-18,2.25,2.21,2.20,2.18,,,,,,,9/8D,,thomala02
101,Lane Thomas,28,CLE,AL,51,43,34,398.0,99,94,2,3,0,.970,-3,-9,-3,-9,2.17,2.27,1.88,2.24,,,,,,,89/HD,,thomala02
102,Logan O'Hoppe,24,LAA,AL,127,121,116,1064.1,1009,962,41,6,0,.994,2,2,1,1,8.48,9.16,7.90,9.03,5,51,84,30,26.3,0,*2/HD,,ohopplo01
103,Isiah Kiner-Falefa,29,2TM,2LG,131,122,97,1063.0,445,148,292,5,60,.989,5,6,15,17,3.73,3.43,2.93,3.37,,,,,,,456/H18,,kineris01
104,Isiah Kiner-Falefa,29,TOR,AL,81,74,55,644.2,278,94,181,3,38,.989,9,17,12,22,3.84,3.24,2.84,3.21,,,,,,,456/H18,,kineris01
105,Isiah Kiner-Falefa,29,PIT,NL,50,48,42,418.1,167,54,111,2,22,.988,-4,-11,3,9,3.55,3.73,3.11,3.65,,,,,,,64/5H,,kineris01
106,Jake McCarthy,26,ARI,NL,137,116,88,1061.2,274,270,2,2,1,.993,-11,-12,-3,-3,2.31,2.21,1.99,2.18,,,,,,,*987H/D,,mccarja02
107,William Contreras,26,MIL,NL,120,119,115,1060.0,1099,1054,37,8,2,.993,6,7,6,7,9.26,9.06,9.09,8.94,6,30,72,21,22.6,3,*2D/H,ASMVP-5SS,contrwi02
108,Lourdes Gurriel Jr.,30,ARI,NL,127,120,108,1060.0,248,239,4,5,0,.980,5,5,3,3,2.06,2.22,1.90,2.23,,,,,,,*7H/D3,,gurrilo01
109,Andrew Vaughn,26,CHW,AL,122,121,118,1059.1,896,816,76,4,75,.996,1,2,-4,-5,7.58,8.03,7.31,7.92,,,,,,,*3D/H,,vaughan01
110,Paul DeJong,30,2TM,AL,131,121,110,1058.1,385,143,227,15,35,.961,-8,-9,-8,-9,3.15,3.32,2.82,3.27,,,,,,,65H/D,,dejonpa01
111,Paul DeJong,30,CHW,AL,100,93,88,817.2,311,119,178,14,29,.955,-12,-17,-11,-16,3.27,3.57,2.97,3.52,,,,,,,65/HD,,dejonpa01
112,Paul DeJong,30,KCR,AL,31,28,22,240.2,74,24,49,1,6,.986,4,17,3,15,2.73,2.48,2.35,2.48,,,,,,,5/HD6,,dejonpa01
113,Gavin Lux,26,LAD,NL,138,117,99,1054.2,453,179,265,9,68,.980,0,0,-2,-2,3.79,4.15,3.19,4.09,,,,,,,*4H/6,,luxga01
114,Jeff McNeil,32,NYM,NL,128,117,103,1054.1,457,216,232,9,66,.980,0,0,1,1,3.82,3.81,3.25,3.70,,,,,,,*497/H,,mcneije01
115,Will Smith,29,LAD,NL,121,117,113,1051.1,1066,1000,58,8,3,.992,6,7,-4,-5,9.06,9.06,8.74,8.94,5,53,64,32,33.3,1,*2/HD,AS,smithwi05
116,Josh Rojas,30,SEA,AL,141,116,88,1050.1,323,98,215,10,20,.969,1,2,8,9,2.68,2.56,2.07,2.56,,,,,,,*5H4/713D,,rojasjo01
117,Jose Siri,28,TBR,AL,128,116,110,1049.2,345,337,1,7,1,.980,9,10,12,14,2.90,2.28,2.62,2.28,,,,,,,*8/H3D,,sirijo01
118,Ha-Seong Kim,28,SDP,NL,121,119,115,1046.2,419,145,263,11,64,.974,0,0,2,2,3.51,3.82,3.37,3.77,,,,,,,*6/H,,kimha01
119,Kyle Isbel,27,KCR,AL,136,119,100,1046.1,298,293,1,4,1,.987,-5,-5,5,6,2.53,2.27,2.16,2.24,,,,,,,*8H,,isbelky01
120,Mike Yastrzemski,33,SFG,NL,134,120,94,1043.0,221,212,5,4,1,.982,-1,-1,4,5,1.87,2.21,1.61,2.17,,,,,,,*9H/81,,yastrmi01
121,Brandon Marsh,26,PHI,NL,133,115,84,1038.2,239,228,6,5,1,.979,0,0,7,8,2.03,2.21,1.76,2.18,,,,,,,*78H/9,,marshbr02
122,George Springer,34,TOR,AL,124,120,109,1038.2,224,219,3,2,0,.991,-2,-2,-1,-1,1.92,2.27,1.79,2.24,,,,,,,*9D/H8,,springe01
123,Gio Urshela,32,2TM,2LG,126,117,107,1038.1,379,181,191,7,34,.982,12,14,1,1,3.22,3.22,2.88,3.24,,,,,,,*53/H6D,,urshegi01
124,Gio Urshela,32,DET,AL,90,81,73,716.1,278,159,114,5,19,.982,1,2,-4,-7,3.43,3.52,2.97,3.51,,,,,,,53/HD,,urshegi01
125,Gio Urshela,32,ATL,NL,36,36,34,322.0,101,22,77,2,15,.980,11,42,5,19,2.77,2.55,2.68,2.55,,,,,,,5/6,,urshegi01
126,Jo Adell,25,LAA,AL,123,117,113,1035.2,241,234,3,4,0,.983,7,8,6,7,2.06,2.27,1.93,2.24,,,,,,,*9H/D8,,adelljo01
127,Andrew Benintendi,29,CHW,AL,125,118,114,1031.0,250,244,3,3,0,.988,-1,-1,-13,-15,2.16,2.27,1.98,2.24,,,,,,,*7H/D8,,beninan01
128,Harrison Bader,30,NYM,NL,140,108,97,1025.1,283,278,1,4,0,.986,10,11,-2,-2,2.45,2.21,1.99,2.18,,,,,,,*8H/D,,baderha01
129,Trea Turner,31,PHI,NL,118,118,106,1018.2,444,136,291,17,51,.962,-10,-12,-14,-16,3.77,3.82,3.62,3.77,,,,,,,*6/D,AS,turnetr01
130,Jared Triolo,26,PIT,NL,119,114,102,1010.2,380,149,228,3,46,.992,4,5,7,8,3.36,3.46,2.97,3.58,,,,,,,54/36H9,GG,triolja01
131,Aaron Judge,32,NYY,AL,117,117,98,1010.0,283,279,4,0,2,1.000,7,8,-8,-10,2.52,2.27,2.42,2.24,,,,,,,*8D/97,ASMVP-1SS,judgeaa01
132,Tyler Stephenson,27,CIN,NL,127,112,107,1001.0,981,945,32,4,4,.996,-1,-1,-8,-10,8.78,9.06,7.69,8.94,4,33,81,18,18.2,1,*2HD,,stephty01
133,Jarred Kelenic,24,ATL,NL,124,111,95,1000.0,238,231,4,3,0,.987,2,2,-3,-4,2.12,2.21,1.90,2.18,,,,,,,*78H/9,,kelenja01
134,Ernie Clement,28,TOR,AL,134,109,97,999.1,370,117,240,13,39,.965,12,15,15,18,3.22,2.89,2.50,2.82,,,,,,,56H/4D17,,clemeer01
135,Michael Toglia,25,COL,NL,116,113,104,997.1,948,870,70,8,96,.992,-6,-8,11,13,8.48,7.64,7.70,7.44,,,,,,,39/7,,toglimi01
136,Dylan Moore,31,SEA,AL,134,108,68,992.0,401,194,202,5,28,.988,5,7,-4,-5,3.59,3.46,2.40,3.47,,,,,,,6547H3/8,GG,mooredy01
137,Steven Kwan,26,CLE,AL,114,114,104,990.0,215,205,9,1,3,.995,-1,-1,10,12,1.95,2.27,1.88,2.24,,,,,,,*7/DH,ASGG,kwanst01
138,Nicky Lopez,29,CHW,AL,122,111,100,985.0,437,161,272,4,57,.991,-1,-2,-10,-12,3.96,3.88,3.38,3.82,,,,,,,46/H,,lopezni01
139,Mauricio Dubón,29,HOU,AL,133,107,72,984.1,363,270,85,8,19,.978,13,16,6,7,3.25,3.12,2.37,3.30,,,,,,,7483H95/6,,dubonma01
140,Yainer Diaz,25,HOU,AL,112,110,106,982.0,1037,991,41,5,13,.995,-1,-1,-7,-9,9.46,9.04,9.13,8.92,1,29,81,24,22.9,0,2D3/H,,diazya02
141,Ryan Mountcastle,27,BAL,AL,114,108,105,981.1,937,860,74,3,57,.997,2,3,8,10,8.57,8.03,8.19,7.92,,,,,,,*3H/D,,mountry01
142,Jonah Heim,29,TEX,AL,119,110,103,977.1,1011,967,37,7,5,.993,-8,-10,5,6,9.25,9.16,8.44,9.03,0,36,98,14,12.5,2,*2DH,,heimjo01
143,Mookie Betts,31,LAD,NL,115,115,89,974.1,359,176,171,12,33,.967,-1,-2,2,2,3.21,3.30,2.75,3.27,,,,,,,694/H,ASMVP-13SS,bettsmo01
144,Heliot Ramos,24,SFG,NL,112,110,99,973.2,230,225,4,1,0,.996,7,8,-9,-11,2.12,2.21,2.04,2.18,,,,,,,*87/9DH,AS,ramoshe02
145,Keibert Ruiz,25,WSN,NL,116,109,104,971.2,962,921,39,2,8,.998,-2,-2,2,2,8.89,9.06,8.28,8.94,4,36,89,22,19.8,1,*2D/H,,ruizke01
146,Pete Crow-Armstrong,22,CHC,NL,117,109,102,965.2,317,306,8,3,0,.991,3,3,11,14,2.93,2.21,2.68,2.18,,,,,,,*8H,,crowape01
147,Luke Raley,29,SEA,AL,127,105,80,965.0,411,389,18,4,14,.990,1,1,4,5,3.80,3.91,2.95,3.93,,,,,,,739H/8D,,raleylu01
148,MJ Melendez,25,KCR,AL,123,115,82,964.2,197,193,2,2,1,.990,-8,-10,-7,-9,1.82,2.28,1.57,2.29,,,,,,,*7H/D93,,melenmj01
149,Connor Wong,28,BOS,AL,116,106,92,964.0,928,873,49,6,8,.994,-2,-3,-16,-20,8.61,8.97,7.26,8.61,3,37,60,16,21.1,1,23DH/47,,wongco01
150,Michael Harris II,23,ATL,NL,110,109,106,960.2,235,232,1,2,0,.991,10,12,11,14,2.18,2.21,2.12,2.18,,,,,,,*8,,harrimi04
151,Davis Schneider,25,TOR,AL,133,106,69,960.2,294,202,90,2,16,.993,2,2,-2,-2,2.74,2.85,1.96,2.87,,,,,,,74H/D,,schneda03
152,Wilyer Abreu,25,BOS,AL,130,110,70,960.1,238,222,9,7,2,.971,16,20,16,20,2.16,2.27,1.78,2.24,,,,,,,*9H/78D,ROY-6GG,abreuwi02
